Country	region	col_plot	samples_names	Locality	Station	Grab	Distance_cage	Depth	AMBI	NSI	ISI	ITI	NQI1	Shannon
Norway	coast	2	FHF2-St4-Gr2-B	Farm_2	4	2	640	332	2.40501	23.129113	10.131389	41.7	0.71325758	2.962166
Norway	coast	2	FHF2-St4-Gr2-C	Farm_2	4	2	640	332	2.40501	23.129113	10.131389	41.7	0.71325758	2.962166
Norway	coast	2	FHF2-St5-Gr1-A	Farm_2	5	1	1330	367	2.457237	23.359762	10.1164	60.9	0.7054365	3.474161
Norway	coast	2	FHF2-St5-Gr1-B	Farm_2	5	1	1330	367	2.457237	23.359762	10.1164	60.9	0.7054365	3.474161
Norway	coast	2	FHF2-St5-Gr1-C	Farm_2	5	1	1330	367	2.457237	23.359762	10.1164	60.9	0.7054365	3.474161
Norway	coast	2	FHF2-St5-Gr2-A	Farm_2	5	2	1330	367	1.676768	24.3209	9.505625	52.6	0.7685111	3.885663
Norway	coast	2	FHF2-St5-Gr2-B	Farm_2	5	2	1330	367	1.676768	24.3209	9.505625	52.6	0.7685111	3.885663
Norway	coast	2	FHF2-St5-Gr2-C	Farm_2	5	2	1330	367	1.676768	24.3209	9.505625	52.6	0.7685111	3.885663
Norway	coast	3	FHF3-St1-Gr1-A	Farm_3	1	1	0	98	5.980048	6.955049	5.076667	0.604	0.22835942	0.2097159
Norway	coast	3	FHF3-St1-Gr1-B	Farm_3	1	1	0	98	5.980048	6.955049	5.076667	0.604	0.22835942	0.2097159
Norway	coast	3	FHF3-St1-Gr1-C	Farm_3	1	1	0	98	5.980048	6.955049	5.076667	0.604	0.22835942	0.2097159
Norway	coast	3	FHF3-St1-Gr2-A	Farm_3	1	2	0	98	5.99115	6.936928	5.026667	0.539	0.22984081	0.2520488
Norway	coast	3	FHF3-St1-Gr2-B	Farm_3	1	2	0	98	5.99115	6.936928	5.026667	0.539	0.22984081	0.2520488
Norway	coast	3	FHF3-St1-Gr2-C	Farm_3	1	2	0	98	5.99115	6.936928	5.026667	0.539	0.22984081	0.2520488
Norway	coast	3	FHF3-St2-Gr1-A	Farm_3	2	1	75	83	5.96995	6.70786	5.023333	0.613	0.26616979	0.7879841
Norway	coast	3	FHF3-St2-Gr1-B	Farm_3	2	1	75	83	5.96995	6.70786	5.023333	0.613	0.26616979	0.7879841
Norway	coast	3	FHF3-St2-Gr1-C	Farm_3	2	1	75	83	5.96995	6.70786	5.023333	0.613	0.26616979	0.7879841
Norway	coast	3	FHF3-St2-Gr2-A	Farm_3	2	2	75	83	5.987462	6.747947	6.818571	0.264	0.28898755	0.603924
Norway	coast	3	FHF3-St2-Gr2-B	Farm_3	2	2	75	83	5.987462	6.747947	6.818571	0.264	0.28898755	0.603924
Norway	coast	3	FHF3-St2-Gr2-C	Farm_3	2	2	75	83	5.987462	6.747947	6.818571	0.264	0.28898755	0.603924
Norway	coast	3	FHF3-St3-Gr1-A	Farm_3	3	1	150	85	5.835249	7.54903	6.245625	2.03	0.38802251	0.5752471
Norway	coast	3	FHF3-St3-Gr1-B	Farm_3	3	1	150	85	5.835249	7.54903	6.245625	2.03	0.38802251	0.5752471
Norway	coast	3	FHF3-St3-Gr1-C	Farm_3	3	1	150	85	5.835249	7.54903	6.245625	2.03	0.38802251	0.5752471
Norway	coast	3	FHF3-St3-Gr2-A	Farm_3	3	2	150	85	5.675926	7.70011	6.527059	1.93	0.41152339	0.8830332
Norway	coast	3	FHF3-St3-Gr2-B	Farm_3	3	2	150	85	5.675926	7.70011	6.527059	1.93	0.41152339	0.8830332
Norway	coast	3	FHF3-St3-Gr2-C	Farm_3	3	2	150	85	5.675926	7.70011	6.527059	1.93	0.41152339	0.8830332
Norway	coast	3	FHF3-St4-Gr1-A	Farm_3	4	1	430	126	2.2875	22.92487	8.845	30.6	0.75436801	4.3371287
Norway	coast	3	FHF3-St4-Gr1-B	Farm_3	4	1	430	126	2.2875	22.92487	8.845	30.6	0.75436801	4.3371287
Norway	coast	3	FHF3-St4-Gr1-C	Farm_3	4	1	430	126	2.2875	22.92487	8.845	30.6	0.75436801	4.3371287
Norway	coast	3	FHF3-St4-Gr2-A	Farm_3	4	2	430	126	2.301915	23.126098	9.236271	33.9	0.75801854	4.5072696
Norway	coast	3	FHF3-St4-Gr2-B	Farm_3	4	2	430	126	2.301915	23.126098	9.236271	33.9	0.75801854	4.5072696
Norway	coast	3	FHF3-St4-Gr2-C	Farm_3	4	2	430	126	2.301915	23.126098	9.236271	33.9	0.75801854	4.5072696
Norway	coast	3	FHF3-St5-Gr1-A	Farm_3	5	1	1110	273	2.301724	22.393325	10.212258	27.4	0.71180207	3.5851848
Norway	coast	3	FHF3-St5-Gr1-B	Farm_3	5	1	1110	273	2.301724	22.393325	10.212258	27.4	0.71180207	3.5851848
Norway	coast	3	FHF3-St5-Gr1-C	Farm_3	5	1	1110	273	2.301724	22.393325	10.212258	27.4	0.71180207	3.5851848
Norway	coast	3	FHF3-St5-Gr2-A	Farm_3	5	2	1110	273	2.145051	22.172357	9.118276	22.9	0.72701156	3.6230304
Norway	coast	3	FHF3-St5-Gr2-B	Farm_3	5	2	1110	273	2.145051	22.172357	9.118276	22.9	0.72701156	3.6230304
Norway	coast	3	FHF3-St5-Gr2-C	Farm_3	5	2	1110	273	2.145051	22.172357	9.118276	22.9	0.72701156	3.6230304
Norway	coast	4	FHF4-St1-Gr1-A	Farm_4	1	1	0	139	5.981859	6.886257	5.021429	0.262	0.26867648	0.5007153
Norway	coast	4	FHF4-St1-Gr1-B	Farm_4	1	1	0	139	5.981859	6.886257	5.021429	0.262	0.26867648	0.5007153
Norway	coast	4	FHF4-St1-Gr1-C	Farm_4	1	1	0	139	5.981859	6.886257	5.021429	0.262	0.26867648	0.5007153
Norway	coast	4	FHF4-St1-Gr2-A	Farm_4	1	2	0	139	5.982851	6.894799	4.884286	0.221	0.2676752	0.4669585
Norway	coast	4	FHF4-St1-Gr2-B	Farm_4	1	2	0	139	5.982851	6.894799	4.884286	0.221	0.2676752	0.4669585
Norway	coast	4	FHF4-St1-Gr2-C	Farm_4	1	2	0	139	5.982851	6.894799	4.884286	0.221	0.2676752	0.4669585
Norway	coast	4	FHF4-St2-Gr1-A	Farm_4	2	1	68	134	4.700732	12.444033	7.464828	5.11	0.49915089	2.2065642
Norway	coast	4	FHF4-St2-Gr1-B	Farm_4	2	1	68	134	4.700732	12.444033	7.464828	5.11	0.49915089	2.2065642
Norway	coast	4	FHF4-St2-Gr1-C	Farm_4	2	1	68	134	4.700732	12.444033	7.464828	5.11	0.49915089	2.2065642
Norway	coast	4	FHF4-St2-Gr2-A	Farm_4	2	2	68	134	2.479452	21.296439	7.1	35.1	0.70316157	3.3986508
Norway	coast	4	FHF4-St2-Gr2-B	Farm_4	2	2	68	134	2.479452	21.296439	7.1	35.1	0.70316157	3.3986508
Norway	coast	4	FHF4-St2-Gr2-C	Farm_4	2	2	68	134	2.479452	21.296439	7.1	35.1	0.70316157	3.3986508
Norway	coast	4	FHF4-St3-Gr1-A	Farm_4	3	1	300	136	2.395864	22.000659	7.932632	45.7	0.6973454	2.9494536
Norway	coast	4	FHF4-St3-Gr1-B	Farm_4	3	1	300	136	2.395864	22.000659	7.932632	45.7	0.6973454	2.9494536
Norway	coast	4	FHF4-St3-Gr1-C	Farm_4	3	1	300	136	2.395864	22.000659	7.932632	45.7	0.6973454	2.9494536
Norway	coast	4	FHF4-St3-Gr2-A	Farm_4	3	2	300	136	2.429395	21.948994	7.77475	34.8	0.714983	3.5392217
Norway	coast	4	FHF4-St3-Gr2-B	Farm_4	3	2	300	136	2.429395	21.948994	7.77475	34.8	0.714983	3.5392217
Norway	coast	4	FHF4-St3-Gr2-C	Farm_4	3	2	300	136	2.429395	21.948994	7.77475	34.8	0.714983	3.5392217
Norway	coast	4	FHF4-St4-Gr1-A	Farm_4	4	1	610	190	2.026007	23.679515	9.903158	47	0.76534844	4.7051434
Norway	coast	4	FHF4-St4-Gr1-B	Farm_4	4	1	610	190	2.026007	23.679515	9.903158	47	0.76534844	4.7051434
Norway	coast	4	FHF4-St4-Gr1-C	Farm_4	4	1	610	190	2.026007	23.679515	9.903158	47	0.76534844	4.7051434
Norway	coast	4	FHF4-St4-Gr2-A	Farm_4	4	2	610	190	1.879653	23.706651	8.547179	42.9	0.77235842	4.7919258
